player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,finishing,box_occupation,hold_up_play,press_leadership,composite_score,has_primary_season,is_manual_add,nationality
974753,Julián Álvarez,9906,Atlético de Madrid,ESP-La Liga,1.0,25.7,9.0,0.0,0.2,4.3,0.23,0.37,0.7,3.0,0.38,0.1,1.2,0.0,0.8,7.12,0.0,43.0,2.5,0.8,1.2,1677,24,Attacker,0.5625,0.1111111111111111,0.0389105058365758,1.7142857142857144,0.48,0.148,77.29005006835901,74.09816908694528,78.4767256032221,55.168172412518935,71.76486690892293,True,False,Argentina
690107,Alexander Isak,10261,Newcastle United,ENG-Premier League,0.5,16.5,11.0,0.0,0.6,3.6,0.12,0.66,0.9,6.0,0.75,0.1,1.5,0.1,0.6,7.4,0.0,42.0,3.2,0.4,1.4,2769,34,Attacker,0.3571428571428571,0.2,0.0303030303030303,1.5555555555555554,0.46875,0.20625,91.85567010309278,90.53264604810995,66.88144329896907,40.14604810996564,71.64535908643919,False,False,Sweden
1467236,Lamine Yamal,8634,Barcelona,ESP-La Liga,1.2,44.4,21.0,0.0,0.2,8.3,0.44,0.48,1.0,8.0,0.53,0.4,1.5,0.0,0.8,8.41,0.0,58.0,4.6,1.7,5.5,1688,20,Attacker,0.6774193548387097,0.1904761904761904,0.027027027027027,5.5,0.3260869565217391,0.1043478260869565,53.34335624284078,67.5967187673207,98.34437239034844,78.39753538040868,71.22842890429828,True,False,Spain
696263,Romain Del Castillo,8521,Brest,FRA-Ligue 1,0.9,25.8,7.0,0.0,0.7,4.0,0.22,0.39,1.2,2.0,0.38,0.9,0.5,0.1,0.9,7.35,0.0,43.0,1.2,2.4,1.1,1641,20,Attacker,0.7333333333333333,0.2727272727272727,0.0348837209302325,0.9166666666666669,0.4166666666666667,0.325,77.23296105383734,51.11124967668034,75.88220079074752,84.05304289990023,70.53677479782722,True,False,France
479020,Ayoze Pérez,10205,Villarreal,ESP-La Liga,0.5,14.0,5.0,0.0,0.5,1.9,0.09,0.58,1.0,2.0,0.86,0.4,1.4,0.0,0.5,7.36,0.0,32.0,3.4,1.2,1.5,1977,30,Attacker,0.6153846153846154,0.25,0.0357142857142857,1.5,0.4117647058823529,0.1705882352941176,83.33333333333333,83.90034364261169,60.30927835051546,52.2852233676976,70.1388090918154,False,False,Spain
844437,Amine Gouiri,8592,Marseille,FRA-Ligue 1,0.0,23.0,7.0,0.0,0.0,3.3,0.14,0.51,1.3,5.0,0.56,0.1,1.8,0.0,1.0,7.01,0.0,34.0,3.5,0.0,1.1,2088,33,Attacker,0.0714285714285714,1.0,0.0,0.8461538461538461,0.5142857142857143,0.1457142857142857,82.63745704467354,82.4742268041237,62.71477663230241,49.218213058419245,69.50247734437426,False,False,Algeria
923312,Bryan Mbeumo,10260,Manchester United,ENG-Premier League,0.6,23.6,3.0,0.0,0.3,3.8,0.19,0.36,0.7,2.0,0.45,0.2,1.4,0.0,0.8,7.3,0.0,32.0,2.6,0.8,0.6,1810,21,Attacker,0.5882352941176471,0.2,0.0254237288135593,0.8571428571428572,0.5384615384615384,0.1384615384615384,73.33458042345639,67.31561541588147,67.9377748217123,68.28211026124228,69.42418899516004,True,False,Cameroon
961995,Bukayo Saka,9825,Arsenal,ENG-Premier League,0.5,24.6,9.0,0.0,0.5,5.2,0.29,0.34,1.2,3.0,0.27,0.5,1.2,0.0,1.0,7.52,0.0,44.0,2.8,1.6,2.4,1642,23,Attacker,0.6363636363636365,0.238095238095238,0.0203252032520325,2.0,0.4285714285714286,0.1214285714285714,53.84655710748992,64.16514244540515,89.0533200310387,79.33405387429332,68.94084955458565,True,False,England
1084981,Noni Madueke,8455,Chelsea,ENG-Premier League,0.6,22.0,6.0,0.0,0.4,3.2,0.14,0.42,1.0,3.0,0.31,0.4,1.4,0.0,0.8,7.18,0.0,32.0,3.5,1.1,2.0,2046,32,Attacker,0.6,0.2666666666666666,0.0272727272727272,2.0,0.3999999999999999,0.12,60.28350515463918,72.42268041237114,76.71821305841924,68.07560137457045,68.6832938364397,False,False,England
678234,Mikel Oyarzabal,8560,Real Sociedad,ESP-La Liga,0.5,16.9,9.0,0.0,0.9,2.7,0.13,0.53,0.7,3.0,0.5,0.1,1.3,0.1,0.8,7.38,0.0,30.0,3.0,0.9,1.1,1804,21,Attacker,0.5882352941176471,0.1,0.029585798816568,1.5714285714285716,0.4333333333333333,0.1766666666666666,80.12600229095075,73.22044858293611,54.630168495732185,59.01472952000887,66.96384123333544,True,False,Spain
881771,Ferran Torres,8634,Barcelona,ESP-La Liga,0.3,14.5,3.0,0.0,0.3,1.3,0.09,0.75,0.6,1.0,0.79,0.2,1.7,0.1,0.6,7.22,0.0,17.0,3.5,0.3,0.3,1370,22,Attacker,0.4545454545454545,0.4,0.0206896551724137,0.5,0.4857142857142857,0.2142857142857142,92.00776890958134,91.38962790525812,41.12221945091084,51.6089079185604,66.90146801982708,True,False,Spain
784246,Daniel Raba,7854,Leganés,ESP-La Liga,1.0,19.0,12.0,0.0,0.8,4.6,0.22,0.36,1.9,6.0,0.38,0.7,0.8,0.1,0.8,7.3,0.0,47.0,2.1,1.8,2.2,1890,29,Attacker,0.5681818181818181,0.2799999999999999,0.0526315789473684,1.1578947368421053,0.3809523809523809,0.1714285714285714,66.96735395189003,56.97594501718213,74.18384879725087,70.63573883161513,66.69051403826768,False,False,Spain
1209399,Abdessamad Ezzalzouli,8603,Real Betis,ESP-La Liga,0.6,26.1,7.0,0.0,0.6,1.5,0.11,0.41,1.4,4.0,0.39,0.8,1.0,0.0,1.3,7.67,0.0,16.0,3.3,2.4,1.7,1143,15,Attacker,0.6956521739130436,0.25,0.0229885057471264,1.2142857142857144,0.303030303030303,0.1242424242424242,54.1572442079592,66.22071647636996,72.4296086908325,82.8272225917304,66.67439604379236,True,False,Morocco
1314412,Romulo Cruz,178475,RB Leipzig,GER-Bundesliga,0.5,17.8,4.0,0.0,1.5,1.7,0.11,0.53,0.5,3.0,0.4,0.3,1.0,0.2,0.6,7.2,0.0,17.0,2.3,1.1,0.5,1350,18,Attacker,0.736842105263158,0.2142857142857142,0.0280898876404494,1.0,0.4347826086956522,0.2304347826086956,83.03427419354838,72.27822580645162,46.875,64.19354838709677,66.03325197396194,True,False,Brazil
690230,Lautaro Martinez,8636,Internazionale,ITA-Serie A,0.8,19.3,11.0,0.0,0.8,2.0,0.09,0.54,1.9,4.0,0.66,0.2,1.5,0.0,1.1,7.47,0.0,32.0,3.9,0.9,0.9,1905,25,Attacker,0.3666666666666667,0.1818181818181818,0.0414507772020725,0.4736842105263158,0.3846153846153846,0.1384615384615384,71.83756420204708,78.33739792336401,54.08121789897647,60.28685382256217,66.02431509808908,True,False,Argentina
939569,Jonathan David,9885,Juventus,ITA-Serie A,0.2,21.9,4.0,0.0,0.2,1.3,0.09,0.52,1.3,4.0,0.35,0.3,1.0,0.0,0.9,6.79,0.0,27.0,2.2,0.7,0.3,1296,24,Attacker,0.4347826086956522,0.3,0.0091324200913242,0.2307692307692307,0.4545454545454545,0.2363636363636363,84.27516350737169,75.40073162620551,47.125226323763066,58.91625558881129,65.98028100940486,True,False,Canada
1408580,Joaquin Panichelli,9848,Strasbourg,FRA-Ligue 1,0.1,14.2,5.0,0.0,1.2,1.3,0.06,0.58,1.7,1.0,0.58,0.6,1.2,0.4,0.8,7.27,0.0,22.0,2.4,1.2,0.5,1854,22,Attacker,0.5142857142857142,0.3333333333333333,0.0070422535211267,0.2941176470588235,0.5,0.2416666666666666,92.7116935483871,78.83064516129032,34.92943548387096,66.6633064516129,65.29642231906726,True,False,Argentina
953812,Sofiane Diop,9831,Nice,FRA-Ligue 1,2.2,29.9,4.0,0.0,0.3,2.9,0.18,0.35,1.1,2.0,0.45,0.8,0.8,0.1,0.7,7.09,0.0,21.0,2.7,0.6,1.3,1414,21,Attacker,0.5599999999999999,0.5714285714285715,0.0735785953177257,1.1818181818181817,0.2962962962962963,0.1296296296296296,67.26247552008277,58.81230831762924,68.39400195839337,66.01781029449802,65.070723812075,True,False,Morocco
