player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,positional_versatility,rest_defence,wide_coverage,counter_press,composite_score,has_primary_season,is_manual_add
805451,Alessandro Bastoni,8636,Internazionale,ITA-Serie A,5.1,62.6,7.0,0.0,3.5,2.5,0.12,0.06,1.6,4.0,0.05,1.0,0.3,0.2,0.3,7.54,0.0,21.0,0.8,1.9,0.2,1860,22,Defender,0.6444444444444444,0.3448275862068966,0.0814696485623003,0.125,65.1045968852177,27.075732805598577,37.26863204841393,53.99926683588597,43.80684608639217,True,False
544693,Amir Rrahmani,9875,Napoli,ITA-Serie A,1.9,77.4,0.0,0.0,3.6,0.2,0.02,0.04,1.1,1.0,0.07,1.2,0.1,0.6,0.0,7.27,0.0,3.0,0.5,1.3,0.1,1360,16,Defender,0.6944444444444444,0.48,0.024547803617571,0.0909090909090909,46.922843888028446,50.22826679286411,42.34182297940687,34.58968801984742,43.7657185220642,True,False
169586,Leandro Cabrera,8558,Espanyol,ESP-La Liga,2.9,34.2,1.0,0.0,5.1,1.1,0.05,0.1,0.8,0.0,0.13,0.7,0.4,0.6,0.1,6.82,0.0,6.0,1.2,1.1,0.2,2070,23,Defender,0.6923076923076923,0.3888888888888888,0.0847953216374269,0.25,44.30693584007343,45.49751190271325,49.545357583319,34.98969268054839,43.749913039105024,True,False
890263,Jordan Teze,9829,Monaco,FRA-Ligue 1,2.7,43.0,2.0,0.0,2.4,2.3,0.14,0.02,1.5,0.0,0.0,1.1,0.1,0.3,0.4,6.88,0.0,18.0,0.5,2.3,0.1,1527,21,Defender,0.693877551020408,0.3235294117647059,0.0627906976744186,0.0666666666666666,39.77163461538461,34.453125,42.60817307692307,70.21634615384615,43.7361006967813,True,False
766611,Nikola Milenkovic,10203,Nottingham Forest,ENG-Premier League,2.3,36.1,1.0,0.0,5.8,0.4,0.02,0.03,0.5,0.0,0.0,0.9,0.0,0.9,0.0,6.68,0.0,1.0,0.5,0.7,0.0,2340,26,Defender,0.7619047619047619,0.5625,0.0637119113573407,0.0,28.78920366546205,64.896200811679,58.712642689152766,34.54502595651925,43.72035963042296,True,False
1523234,Jon Martin,8560,Real Sociedad,ESP-La Liga,1.3,46.1,0.0,0.0,5.6,0.1,0.01,0.07,0.8,0.0,0.0,1.4,0.2,1.3,0.0,7.04,0.0,2.0,0.7,1.1,0.4,1350,15,Defender,0.7575757575757576,0.5599999999999999,0.0281995661605206,0.5,40.26920925830321,59.80072814489762,42.21242578729994,34.56201062639821,43.62630446417601,True,False
831474,Marin Pongracic,8535,Fiorentina,ITA-Serie A,2.5,55.6,1.0,0.0,3.0,0.4,0.02,0.03,2.2,0.0,0.0,1.2,0.0,0.8,0.1,6.83,0.0,5.0,0.3,1.0,0.6,2069,23,Defender,0.5,0.5454545454545454,0.0449640287769784,0.2727272727272727,68.24568526644869,39.264693756094765,33.17771073538691,34.97001914472552,43.41840760625092,True,False
1249284,Jon Aramburu,8560,Real Sociedad,ESP-La Liga,1.5,32.2,0.0,0.0,3.1,0.4,0.02,0.07,2.3,0.0,0.05,1.3,0.2,0.3,0.1,7.0,0.0,7.0,0.7,3.7,0.2,1820,22,Defender,0.684931506849315,0.26,0.046583850931677,0.0869565217391304,34.470221705959965,34.2935452876728,53.014362129295016,63.509669161934255,43.32141908686009,True,False
955406,William Saliba,9825,Arsenal,ENG-Premier League,1.9,70.4,0.0,0.0,4.2,0.8,0.04,0.02,0.7,0.0,0.0,0.5,0.0,0.2,0.1,7.08,0.0,5.0,0.1,1.2,0.2,1805,22,Defender,0.7083333333333334,0.2941176470588235,0.0269886363636363,0.2857142857142857,59.7847293925314,34.75577030631561,39.538742973096994,39.278012605403546,43.28320638486502,True,False
717174,Joe Rodon,8463,Leeds United,ENG-Premier League,1.3,42.7,1.0,0.0,5.7,0.3,0.01,0.04,0.4,0.0,0.09,1.1,0.2,0.6,0.0,6.68,0.0,4.0,0.6,1.2,0.0,2100,24,Defender,0.8518518518518519,0.4782608695652174,0.0304449648711943,0.0,21.71875,79.64543269230768,58.74399038461539,38.65384615384615,43.25338198751599,True,False
