player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,line_breaking,high_line_defence,ball_carrying,pressing_aggression,composite_score,has_primary_season,is_manual_add
954962,David Carmo,8670,Real Oviedo,ESP-La Liga,5.2,45.0,0.0,0.0,7.9,0.4,0.02,0.06,1.3,0.0,0.07,1.1,0.2,1.0,0.1,6.71,0.0,6.0,0.6,1.6,0.1,1362,17,Defender,0.675,0.4074074074074074,0.1155555555555555,0.0769230769230769,72.21153846153847,62.40384615384616,20.300480769230766,49.66947115384615,47.04129909116543,True,False
1155130,Luca Netz,9788,Borussia Mönchengladbach,GER-Bundesliga,1.0,26.1,4.0,0.0,3.6,1.5,0.15,0.0,0.8,2.0,0.0,0.5,0.0,0.5,0.3,6.84,0.0,10.0,0.2,1.5,0.9,938,15,Defender,0.7142857142857143,0.25,0.0383141762452107,1.125,31.40061234440429,34.71734641197728,84.18068462112088,60.58319709745884,46.98850384449685,True,False
1605748,Matias Moreno,8581,Levante,ESP-La Liga,1.9,35.3,0.0,0.0,5.5,0.2,0.01,0.04,0.9,0.0,0.0,1.5,0.0,0.9,0.0,6.8,0.0,2.0,0.4,1.5,0.1,1221,16,Defender,0.7692307692307693,0.5,0.0538243626062322,0.1111111111111111,41.32211538461539,77.0673076923077,32.566105769230774,47.90264423076923,46.8636019308045,True,False
559065,Ramy Bensebaini,9789,Borussia Dortmund,GER-Bundesliga,3.2,65.7,0.0,0.0,5.3,1.5,0.14,0.07,1.9,0.0,0.19,0.9,0.4,0.5,0.2,7.53,0.0,5.0,0.8,1.5,0.2,948,13,Defender,0.5581395348837209,0.375,0.0487062404870624,0.1052631578947368,62.54013580565594,47.35345680605747,29.184045703550737,52.90185997820225,46.63007677727266,True,False
729093,Mathias Olivera,9875,Napoli,ITA-Serie A,1.7,45.1,2.0,0.0,2.5,0.8,0.03,0.04,1.1,2.0,0.0,1.1,0.1,0.5,0.1,7.12,0.0,25.0,0.6,2.4,0.2,2371,32,Defender,0.7608695652173914,0.3142857142857143,0.0376940133037694,0.1818181818181818,46.35346756152125,42.17002237136465,39.71476510067114,65.11744966442953,46.617942555905294,False,False
1130330,Josh Doig,7943,Sassuolo,ITA-Serie A,0.6,27.4,4.0,0.0,2.7,0.8,0.04,0.03,0.7,0.0,0.0,1.2,0.2,0.7,0.1,6.64,0.0,12.0,0.5,1.6,0.5,1724,24,Defender,0.7999999999999999,0.4285714285714286,0.0218978102189781,0.7142857142857143,21.989182692307693,54.33894230769232,79.82572115384616,59.83173076923077,46.49032126376596,True,False
1199947,Leopold Querfeld,8149,1. FC Union Berlin,GER-Bundesliga,4.7,32.5,3.0,0.0,6.9,1.5,0.07,0.15,1.5,0.0,0.09,1.2,0.4,0.8,0.0,7.03,0.0,17.0,1.1,1.7,0.1,1980,22,Defender,0.6590909090909091,0.4137931034482758,0.1446153846153846,0.0666666666666666,65.67052250043021,63.66354399701714,25.306943010382607,39.71395844088797,46.42825931771854,True,False
184521,Florian Lejeune,8370,Rayo Vallecano,ESP-La Liga,4.1,53.6,1.0,0.0,5.7,0.3,0.01,0.05,1.6,0.0,0.0,1.2,0.3,0.8,0.0,7.0,0.0,9.0,1.3,1.7,0.2,2061,23,Defender,0.6444444444444444,0.4137931034482758,0.0764925373134328,0.125,74.61777770607468,57.54035091493146,26.388234598175877,35.08961990191017,46.36968403328957,True,False
1208708,Omar El Hilali,8558,Espanyol,ESP-La Liga,2.0,35.1,2.0,0.0,2.4,1.5,0.08,0.0,1.3,2.0,0.0,1.2,0.0,0.4,0.1,6.8,0.0,10.0,0.1,2.5,0.2,1672,22,Defender,0.74,0.3243243243243243,0.0569800569800569,0.1538461538461538,51.116919061549936,38.91446896690185,40.5380331124878,58.75672216485975,46.33128636707209,True,False
402830,Guillermo Maripan,9804,Torino,ITA-Serie A,2.0,34.7,0.0,0.0,6.3,0.5,0.02,0.07,1.2,0.0,0.09,1.2,0.4,1.1,0.1,6.88,0.0,9.0,0.8,2.3,0.1,1981,23,Defender,0.7446808510638298,0.3428571428571428,0.0576368876080691,0.0833333333333333,48.97082759708599,63.81931896403373,24.600739258876843,62.02672374232776,46.18193039389495,True,False
940573,Eric Garcia,8634,Barcelona,ESP-La Liga,2.4,67.5,1.0,0.0,2.7,1.3,0.06,0.13,1.2,1.0,0.05,1.6,0.3,0.3,0.2,7.37,0.0,24.0,1.0,2.5,0.1,1905,24,Defender,0.7735849056603773,0.3902439024390244,0.0355555555555555,0.0833333333333333,51.90561722021454,42.89424152469454,30.825571473641943,69.63964714908508,46.07476753217508,True,False
361712,Adam Dzwigala,8152,FC St. Pauli,GER-Bundesliga,2.1,35.0,0.0,0.0,5.5,0.2,0.02,0.01,1.4,1.0,0.09,1.5,0.1,0.3,0.0,6.9,0.0,4.0,0.2,3.6,0.2,992,14,Defender,0.7846153846153846,0.2941176470588235,0.06,0.1428571428571428,47.14543269230769,55.3125,31.53245192307692,56.60456730769231,46.0253860924089,True,False
