player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,saves_per_match,clean_sheet_rate,shot_stopping,distribution,sweeper_command,composite_score,has_primary_season,nationality
651910,Dominik Greif,9748,Lyon,FRA-Ligue 1,0.0,26.4,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.28,2.4,1.0,0.0,0.0,0.0,1620,18,Keeper,0.0,0.0,0.0,0.0,0.1333333333333333,0.5,64.69934640522875,56.69346405228757,62.01339869281045,60.99541221796052,True,Slovakia
556505,Robin Zentner,9905,1. FSV Mainz 05,GER-Bundesliga,0.0,18.9,1.0,9.0,1.9,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,3.2,3.0,0.0,0.1,0.0,2880,32,Keeper,1.0,0.0,0.0,0.0,0.1,0.28125,65.0,47.1,76.30000000000001,60.930445524714905,False,Germany
1281100,Noah Atubolu,8358,Sport-Club Freiburg,GER-Bundesliga,0.0,25.7,1.0,5.0,1.2,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,3.0,2.0,0.0,0.0,0.0,1980,22,Keeper,0.0,0.0,0.0,0.0,0.1363636363636363,0.2272727272727272,59.321895424836605,62.17581699346405,61.368954248366016,60.922455400339786,True,Germany
319784,Alisson Becker,8650,Liverpool,ENG-Premier League,0.0,24.6,0.0,7.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,2.1,0.0,0.0,0.0,0.0,1890,21,Keeper,0.0,0.0,0.0,0.0,0.1,0.3333333333333333,51.764705882352935,58.00718954248365,76.2,60.49464641880588,True,Brazil
784146,Moritz Nicolas,9788,Borussia Mönchengladbach,GER-Bundesliga,0.0,22.8,1.0,8.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,3.9,2.0,0.0,0.0,0.0,1980,22,Keeper,0.0,0.0,0.0,0.0,0.1772727272727272,0.3636363636363636,75.85457516339869,57.48039215686274,49.198039215686286,60.45188733448562,True,Germany
317564,Kepa Arrizabalaga,8678,Bournemouth,ENG-Premier League,0.0,20.5,0.0,8.0,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.95,3.1,1.0,0.0,0.0,0.0,2790,31,Keeper,0.0,0.0,0.0,0.0,0.1,0.2580645161290322,61.75,52.5,68.05000000000001,60.06578147132908,False,Spain
178732,Lukasz Skorupski,9857,Bologna,ITA-Serie A,0.0,29.4,0.0,3.0,1.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.77,1.7,0.0,0.0,0.0,0.0,1054,13,Keeper,0.0,0.0,0.0,0.0,0.1307692307692307,0.2307692307692307,46.33169934640523,66.35620915032679,71.76666666666667,59.90909532096801,True,Poland
303919,Jordan Pickford,8668,Everton,ENG-Premier League,0.0,23.5,0.0,9.0,1.4,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,2.7,0.0,0.0,0.0,0.0,2340,26,Keeper,0.0,0.0,0.0,0.0,0.1038461538461538,0.3461538461538461,50.64542483660131,54.931372549019606,78.35424836601307,59.394331542831175,True,England
1117310,Edoardo Corvi,10167,Parma,ITA-Serie A,0.0,22.4,0.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,2.6,0.0,0.0,0.0,0.0,1170,13,Keeper,0.0,0.0,0.0,0.0,0.2,0.3076923076923077,79.65686274509804,50.882352941176464,48.82352941176471,58.79161436513675,True,Italy
245555,Geronimo Rulli,8592,Marseille,FRA-Ligue 1,0.0,26.3,0.0,5.0,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.41,2.8,0.0,0.0,0.1,0.0,1620,18,Keeper,0.5,0.0,0.0,0.0,0.1555555555555555,0.2777777777777778,52.65032679738562,62.03464052287583,62.0326797385621,58.57314347499661,True,Argentina
330643,Mark Flekken,8178,Bayer 04 Leverkusen,GER-Bundesliga,0.0,25.5,1.0,4.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,3.5,1.0,0.0,0.0,0.1,1500,17,Keeper,0.0,0.0,0.0,0.0,0.2058823529411764,0.2352941176470588,63.665032679738566,62.18104575163397,49.14869281045751,58.4250694443173,True,Netherlands
195782,Marco Bizot,8521,Brest,FRA-Ligue 1,0.0,20.1,0.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,2.4,0.0,0.0,0.1,0.0,2880,32,Keeper,1.0,0.0,0.0,0.0,0.075,0.3125,53.25,51.29999999999999,75.7,58.40926023905522,False,Netherlands
1013021,Marco Carnesecchi,8524,Atalanta,ITA-Serie A,0.0,21.4,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42,3.2,0.0,0.0,0.0,0.0,2250,25,Keeper,0.0,0.0,0.0,0.0,0.128,0.4,66.63398692810458,47.32745098039215,63.642156862745104,58.30510565458833,True,Italy
1125720,Robin Roefs,8472,Sunderland,ENG-Premier League,0.0,24.9,1.0,8.0,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,3.1,4.0,0.0,0.0,0.0,2340,26,Keeper,0.0,0.0,0.0,0.0,0.1192307692307692,0.3076923076923077,51.47058823529412,57.35294117647058,66.27450980392157,57.66922914949832,True,Netherlands
815912,Berke Özer,8639,Lille,FRA-Ligue 1,0.0,26.3,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.14,2.6,2.0,0.0,0.1,0.0,1800,20,Keeper,1.0,0.0,0.0,0.0,0.13,0.3,55.3921568627451,59.90196078431373,57.74509803921568,57.645551303947016,True,Turkiye
554534,Alexander Nübel,10269,VfB Stuttgart,GER-Bundesliga,0.0,26.5,1.0,8.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.3,3.0,3.0,0.0,0.0,0.0,1980,22,Keeper,0.0,0.0,0.0,0.0,0.1363636363636363,0.3636363636363636,54.06372549019608,61.621568627450976,57.34117647058824,57.60544439196579,True,Germany
543021,Vanja Milinkovic-Savic,9875,Napoli,ITA-Serie A,0.0,28.2,1.0,7.0,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.09,1.7,2.0,0.0,0.0,0.0,1620,18,Keeper,0.0,0.0,0.0,0.0,0.0944444444444444,0.3888888888888889,50.80228758169935,63.63594771241829,59.31928104575164,57.58558569441798,True,Serbia
432435,Michael Zetterer,9810,Eintracht Frankfurt,GER-Bundesliga,0.0,26.6,0.0,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,2.1,0.0,0.0,0.0,0.0,990,11,Keeper,0.0,0.0,0.0,0.0,0.1909090909090909,0.2727272727272727,67.9656862745098,61.48300653594771,43.27058823529412,57.30909110270113,True,Germany
178778,Oliver Baumann,8226,TSG 1899 Hoffenheim,GER-Bundesliga,0.0,26.9,0.0,6.0,1.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,3.1,0.0,0.0,0.0,0.1,1980,22,Keeper,0.0,0.0,0.0,0.0,0.1409090909090909,0.2727272727272727,53.35130718954249,60.00326797385621,58.60294117647059,57.17916553362486,True,Germany
41618,Yann Sommer,8636,Internazionale,ITA-Serie A,0.0,25.3,0.0,12.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89,2.0,0.0,0.0,0.0,0.0,2070,23,Keeper,0.0,0.0,0.0,0.0,0.0869565217391304,0.5217391304347826,57.12745098039216,61.78627450980392,51.81993464052288,57.02390543881385,True,Switzerland
1352996,Mio Backhaus,8697,SV Werder Bremen,GER-Bundesliga,0.0,27.1,0.0,3.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,3.4,0.0,0.0,0.0,0.0,1800,20,Keeper,0.0,0.0,0.0,0.0,0.1699999999999999,0.15,48.77450980392157,63.23529411764704,59.607843137254896,56.727596324192696,True,Germany
1319972,Mike Penders,9848,Strasbourg,FRA-Ligue 1,0.0,35.4,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,2.9,0.0,0.0,0.0,0.0,1890,21,Keeper,0.0,0.0,0.0,0.0,0.1380952380952381,0.2857142857142857,57.1078431372549,69.50980392156862,43.38235294117647,56.33179218592098,True,Belgium
789571,Robert Sánchez,8455,Chelsea,ENG-Premier League,0.0,26.8,2.0,9.0,0.7,0.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,7.29,2.7,5.0,0.0,0.0,0.0,2165,25,Keeper,0.0,0.0,0.0,0.0,0.108,0.36,54.26307189542485,59.411111111111104,55.22549019607843,56.3082579661986,True,Spain
364822,Ivan Provedel,8543,Lazio,ITA-Serie A,0.0,24.2,1.0,11.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,3.4,1.0,0.0,0.0,0.0,2250,25,Keeper,0.0,0.0,0.0,0.0,0.136,0.44,54.97875816993464,58.75359477124183,54.71699346405228,56.19102408425883,True,Italy
279714,Brice Samba,9851,Rennes,FRA-Ligue 1,0.0,27.1,0.0,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,3.0,2.0,0.0,0.0,0.0,1890,21,Keeper,0.0,0.0,0.0,0.0,0.1428571428571428,0.238095238095238,58.65359477124184,63.05686274509802,45.97875816993464,55.92121761805079,True,France
466436,Mory Diaw,9746,Le Havre,FRA-Ligue 1,0.0,23.9,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,6.88,2.6,3.0,0.0,0.1,0.0,1575,18,Keeper,1.0,0.5,0.0,0.0,0.1444444444444444,0.2777777777777778,58.33333333333334,54.41176470588235,53.23529411764706,55.38896617729692,True,Senegal
1075429,Jonathan Fischer,8550,Metz,FRA-Ligue 1,0.0,29.7,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,3.8,1.0,0.0,0.0,0.0,1903,22,Keeper,0.0,0.0,0.0,0.0,0.1727272727272727,0.1818181818181818,51.47058823529412,66.37254901960785,48.03921568627452,55.10873505112232,True,Denmark
280484,Nick Pope,10261,Newcastle United,ENG-Premier League,0.0,13.2,0.0,7.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.1,0.0,1787,20,Keeper,1.0,0.0,0.0,0.0,0.15,0.35,68.7516339869281,35.32614379084967,70.72320261437909,54.9226287376771,True,England
