player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,shooting_focus,central_finishing,box_presence,link_play,first_line_press,composite_score,has_primary_season
1177312,Sékou Mara,8583,Auxerre,FRA-Ligue 1,0.7,13.0,2.0,0.0,0.5,1.1,0.09,0.24,2.1,2.0,0.24,0.2,0.9,0.0,0.4,6.5,0.0,8.0,2.5,0.9,1.2,1147,26,Attacker,0.34375,0.18181818181818182,0.05384615384615384,0.5714285714285714,0.36,0.096,2.0833333333333335,36.63663663663664,49.07657657657658,22.027027027027028,28.933933933933933,38.22542123533334,True
1180696,Fodé Doucouré,9746,Le Havre,FRA-Ligue 1,1.2,25.2,2.0,0.0,1.5,2.2,0.17,0.16,1.1,1.0,0.23,0.6,0.6,0.1,0.2,6.64,0.0,17.0,1.5,2.5,0.4,1169,25,Attacker,0.7380952380952381,0.1935483870967742,0.047619047619047616,0.36363636363636365,0.39999999999999997,0.10666666666666667,3.75,34.549549549549546,34.92492492492492,60.97597597597597,47.0945945945946,37.88297964069448,True
1030212,Sebastiano Esposito,8529,Cagliari,ITA-Serie A,2.1,24.4,11.0,0.0,0.8,4.3,0.15,0.16,1.5,5.0,0.21,0.5,0.5,0.1,0.4,7.08,0.0,65.0,1.9,1.7,0.6,2528,34,Attacker,0.5945945945945946,0.22727272727272727,0.08606557377049182,0.39999999999999997,0.2631578947368421,0.08421052631578949,3.1666666666666665,28.32413322413322,37.94706524706525,77.44062244062243,56.05431795431795,37.695691952981825,True
521148,Jacob Murphy,10261,Newcastle United,ENG-Premier League,1.1,20.0,10.0,0.0,0.9,2.7,0.16,0.18,0.5,2.0,0.17,0.2,0.7,0.2,0.4,6.63,0.0,22.0,2.3,0.9,1.1,1558,31,Attacker,0.6875,0.18181818181818182,0.05500000000000001,2.2,0.30434782608695654,0.0782608695652174,2.0909090909090904,31.193830193830195,35.98717808717809,69.82947492947493,49.716489216489215,37.50943492739091,True
1084981,Noni Madueke,9825,Arsenal,ENG-Premier League,0.8,22.5,5.0,0.0,0.6,2.5,0.2,0.08,1.2,1.0,0.16,0.4,0.6,0.1,0.7,6.65,0.0,19.0,1.7,1.7,2.1,1134,25,Attacker,0.6363636363636365,0.19047619047619047,0.035555555555555556,1.7500000000000002,0.35294117647058826,0.047058823529411764,0.8095238095238094,30.40744380744381,34.22894712894713,64.9995813995814,69.0095004095004,37.336304144388045,True
864157,Jan-Niklas Beste,8358,Sport-Club Freiburg,GER-Bundesliga,0.9,19.2,4.0,0.0,1.3,4.2,0.23,0.16,0.9,2.0,0.05,0.9,0.7,0.1,0.3,6.92,0.0,35.0,1.3,2.2,0.8,1649,27,Attacker,0.775,0.2903225806451613,0.046875,0.888888888888889,0.5384615384615384,0.12307692307692307,1.625,34.249249249249246,29.98498498498499,77.53753753753753,53.12312312312312,36.82150345011141,True
1302666,Derry Scherhant,8358,Sport-Club Freiburg,GER-Bundesliga,0.4,12.0,1.0,0.0,1.3,2.4,0.18,0.17,1.3,1.0,0.3,0.5,0.9,0.3,0.3,6.52,0.0,21.0,2.5,1.3,1.9,1202,30,Attacker,0.5806451612903226,0.2777777777777778,0.03333333333333333,1.4615384615384615,0.36,0.068,1.3157894736842106,31.456456456456458,39.5045045045045,48.1981981981982,39.71471471471472,36.8078789387146,True
1135655,Adam Karabec,9748,Lyon,FRA-Ligue 1,0.6,21.6,2.0,0.0,0.2,2.0,0.19,0.16,1.4,0.0,0.1,0.1,0.5,0.1,0.7,6.59,0.0,21.0,0.9,0.4,1.1,923,21,Attacker,0.2631578947368421,0.2,0.027777777777777776,0.7857142857142858,0.5555555555555556,0.17777777777777778,0.8181818181818181,45.4054054054054,24.481981981981985,65.51051051051051,45.27777777777778,36.77911386610624,True
1146500,Matteo Cancellieri,8543,Lazio,ITA-Serie A,0.5,18.1,3.0,0.0,1.4,1.6,0.09,0.23,2.0,2.0,0.23,1.3,0.8,0.1,0.2,6.81,0.0,17.0,2.1,2.0,0.7,1588,28,Attacker,0.6226415094339622,0.393939393939394,0.027624309392265192,0.35,0.38095238095238093,0.10952380952380952,3.0000000000000004,35.69079079079079,37.662389662389664,35.72100282100283,38.77082537082537,36.77295125820839,True
1242587,Amine Sbaï,8121,Angers,FRA-Ligue 1,0.8,20.7,4.0,0.0,0.1,2.7,0.14,0.19,0.8,1.0,0.1,0.4,0.8,0.0,0.6,6.53,0.0,25.0,1.7,1.0,1.8,1742,24,Attacker,0.6363636363636362,0.28571428571428575,0.03864734299516909,2.25,0.4705882352941177,0.11176470588235295,0.9444444444444444,34.767267267267265,29.436936936936938,66.17117117117118,60.16516516516517,36.646007226766486,True
737339,Dany Mota,6504,Monza,ITA-Serie A,0.7,17.0,3.0,0.0,1.0,1.7,0.07,0.22,1.3,2.0,0.21,0.4,0.5,0.0,0.5,6.52,0.0,22.0,1.8,0.6,0.6,2111,31,Attacker,0.4347826086956522,0.4,0.041176470588235294,0.4615384615384615,0.2777777777777778,0.12222222222222222,3.0,34.17272727272727,38.21818181818182,42.88181818181818,33.690909090909095,36.50551311558267,False
541555,Mattia Zaccagni,8543,Lazio,ITA-Serie A,0.9,27.2,4.0,0.0,0.4,2.7,0.12,0.17,1.3,0.0,0.13,0.8,0.6,0.0,0.5,7.0,0.0,35.0,1.4,1.6,1.0,2114,26,Attacker,0.6486486486486487,0.3333333333333333,0.03308823529411765,0.7692307692307692,0.4285714285714286,0.12142857142857144,1.4,37.58120848120848,26.286167986167985,81.24994994994994,49.56561106561107,36.17258658265059,True
935769,Armand Laurienté,7943,Sassuolo,ITA-Serie A,0.6,22.4,14.0,0.0,0.4,4.4,0.16,0.11,1.5,9.0,0.22,0.3,0.9,0.0,0.5,6.94,0.0,52.0,2.4,0.9,1.0,2461,36,Attacker,0.4444444444444444,0.25,0.026785714285714288,0.6666666666666666,0.375,0.04583333333333334,2.4,22.169669669669666,44.98498498498499,84.44444444444443,40.48798798798799,35.7207401117998,True
1178314,Nikola Stulic,9888,Lecce,ITA-Serie A,0.2,11.2,2.0,0.0,0.7,1.3,0.07,0.21,2.0,0.0,0.16,0.1,0.4,0.2,0.6,6.28,0.0,20.0,1.7,0.6,0.2,1699,32,Attacker,0.25925925925925924,0.14285714285714288,0.01785714285714286,0.1,0.23529411764705885,0.12352941176470589,8.5,29.75975975975976,42.87537537537537,34.81981981981982,35.48048048048048,35.605455307607855,True
213501,Álvaro Morata,10171,Como,ITA-Serie A,1.0,16.8,1.0,0.0,0.8,0.5,0.05,0.44,1.6,1.0,0.0,0.1,0.7,0.0,0.3,6.26,0.0,10.0,2.2,1.3,0.2,908,24,Attacker,0.46666666666666673,0.07142857142857142,0.05952380952380952,0.125,0.3181818181818181,0.19999999999999998,11.0,34.54201474201474,43.78360178360179,18.990545090545087,32.53271453271453,35.55899134794423,True
1113809,Mika Biereth,9829,Monaco,FRA-Ligue 1,0.1,10.2,4.0,0.0,0.4,1.5,0.13,0.28,1.4,2.0,0.17,0.0,0.6,0.2,0.9,6.31,0.0,20.0,1.6,0.9,0.3,1049,31,Attacker,0.391304347826087,0.0,0.009803921568627453,0.2142857142857143,0.37499999999999994,0.17500000000000002,5.333333333333334,33.87134407134406,33.848666848666845,33.56933296933297,51.586768586768585,35.28561596999408,True
750027,Brahim Díaz,8633,Real Madrid,ESP-La Liga,0.6,35.0,7.0,0.0,0.3,2.4,0.18,0.09,1.5,6.0,0.0,0.2,0.5,0.0,0.7,6.82,0.0,28.0,1.1,1.2,1.9,1159,28,Attacker,0.48275862068965514,0.14285714285714288,0.017142857142857144,1.2666666666666666,0.45454545454545453,0.0818181818181818,0.5789473684210527,36.682473382473376,24.17836017836018,76.74036764036764,58.49054509054508,35.02395094857218,True
1435689,Semih Kiliçsoy,8529,Cagliari,ITA-Serie A,1.2,17.1,0.0,0.0,0.0,0.2,0.02,0.17,1.3,0.0,0.37,0.1,0.7,0.1,0.6,6.4,0.0,11.0,1.6,0.5,1.3,976,22,Attacker,0.3157894736842105,0.16666666666666669,0.07017543859649122,1.0,0.43749999999999994,0.10625,1.2307692307692308,45.653153153153156,26.41891891891892,26.921921921921914,41.87687687687688,34.49549352720605,True
1215057,Vítinha,10233,Genoa,ITA-Serie A,0.6,9.9,5.0,0.0,1.1,2.0,0.08,0.25,1.4,1.0,0.21,0.6,0.8,0.2,0.8,6.7,0.0,17.0,2.6,1.5,1.4,2152,34,Attacker,0.6,0.2857142857142857,0.0606060606060606,1.0,0.3076923076923077,0.09615384615384615,1.8571428571428574,25.96158886158886,40.13324233324233,28.93703703703704,67.46001456001456,34.37037378823702,True
881500,Lyle Foster,8191,Burnley,ENG-Premier League,0.5,12.9,2.0,0.0,1.3,0.5,0.03,0.21,1.4,2.0,0.2,0.3,0.4,0.2,0.6,6.24,0.0,10.0,1.3,1.0,0.7,1372,26,Attacker,0.48148148148148145,0.23076923076923075,0.03875968992248062,0.5,0.3076923076923077,0.16153846153846152,1.8571428571428574,41.006006006006,30.930930930930927,17.32732732732733,50.48048048048049,34.31481729025699,True
1074968,Jamie Leweling,10269,VfB Stuttgart,GER-Bundesliga,0.9,22.3,10.0,0.0,1.1,5.2,0.2,0.16,0.7,9.0,0.28,0.5,0.7,0.1,0.6,7.19,0.0,39.0,1.8,0.8,1.2,2285,31,Attacker,0.65,0.3846153846153846,0.04035874439461883,1.7142857142857144,0.38888888888888884,0.08888888888888889,1.5,30.67219037219037,27.167731367731374,74.81989261989263,59.97402857402858,34.15995551334673,True
977618,Víctor García,8581,Levante,ESP-La Liga,0.8,19.4,2.0,0.0,1.3,1.1,0.09,0.17,1.1,1.0,0.17,0.9,0.7,0.3,0.4,6.78,0.0,14.0,1.6,1.9,1.1,1040,21,Attacker,0.717948717948718,0.32142857142857145,0.04123711340206186,1.0,0.43749999999999994,0.10625,1.4545454545454546,33.806306306306304,27.77027027027027,43.07807807807808,53.986486486486484,33.54943956179507,True
994403,Cyril Ngonge,9804,Torino,ITA-Serie A,1.5,16.1,0.0,0.0,0.8,0.6,0.06,0.17,1.8,1.0,0.09,0.2,1.1,0.0,0.4,0.0,0.0,12.0,2.2,1.0,1.7,992,20,Attacker,0.39999999999999997,0.16666666666666669,0.09316770186335403,0.9444444444444444,0.5,0.07727272727272727,1.2941176470588236,28.22072072072072,40.86336336336336,29.774774774774777,33.513513513513516,33.470926087009474,True
1030646,Gennaro Borrelli,8529,Cagliari,ITA-Serie A,0.5,11.3,1.0,0.0,1.3,0.4,0.03,0.19,3.3,1.0,0.3,0.2,0.6,0.2,0.2,6.46,0.0,12.0,1.9,1.1,0.5,1199,26,Attacker,0.28260869565217395,0.15384615384615385,0.04424778761061947,0.15151515151515152,0.3157894736842105,0.1,3.8,35.98348348348349,39.86486486486486,17.792792792792792,22.43243243243243,33.32648030356231,True
1159233,Alieu Fadera,7943,Sassuolo,ITA-Serie A,0.8,18.6,1.0,0.0,0.6,1.2,0.11,0.19,3.3,1.0,0.18,0.6,0.4,0.0,0.5,6.43,0.0,7.0,1.2,3.3,1.0,975,28,Attacker,0.5416666666666667,0.15384615384615385,0.04301075268817204,0.30303030303030304,0.33333333333333337,0.15833333333333335,1.2,39.984984984984976,24.909909909909913,34.054054054054056,48.01801801801802,33.16385004684527,True
941213,Crysencio Summerville,8654,West Ham United,ENG-Premier League,0.3,18.7,3.0,0.0,1.2,2.8,0.11,0.2,1.9,1.0,0.2,0.6,0.6,0.2,0.5,6.99,0.0,25.0,2.0,1.6,1.6,2300,29,Attacker,0.5365853658536587,0.2727272727272727,0.016042780748663103,0.8421052631578948,0.3,0.1,1.25,29.29429429429429,29.03153153153153,60.4954954954955,47.612612612612615,32.9462280388351,True
1367047,Afonso Moreira,9748,Lyon,FRA-Ligue 1,0.7,23.5,10.0,0.0,0.7,5.6,0.31,0.14,1.5,7.0,0.22,0.7,0.7,0.0,0.7,7.18,0.0,31.0,2.0,1.7,1.3,1627,26,Attacker,0.6153846153846154,0.2916666666666667,0.02978723404255319,0.8666666666666667,0.35,0.07,1.5384615384615383,24.15915915915916,29.369369369369366,81.95195195195195,65.35285285285286,32.6041558001306,True
