player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,line_breaking,rest_defence,switch_play,aerial_command,composite_score,has_primary_season,is_manual_add
919435,Sepp van den Berg,9937,Brentford,ENG-Premier League,1.9,40.1,3.0,0.0,6.5,0.5,0.02,0.08,0.5,1.0,0.0,0.9,0.2,0.6,0.0,6.8,0.0,4.0,0.6,0.7,0.0,1853,21,Defender,0.7619047619047619,0.5625,0.0473815461346633,0.0,27.537070498479896,60.20194279527333,41.93863649400563,61.94405904032581,43.745305750109104,True,False
1078788,Neco Williams,10203,Nottingham Forest,ENG-Premier League,1.3,32.0,4.0,0.0,2.3,2.9,0.12,0.06,0.9,1.0,0.04,1.0,0.5,0.5,0.3,7.05,0.0,25.0,1.2,2.9,0.9,2205,25,Defender,0.8125,0.2564102564102564,0.040625,1.0,59.52730632994894,53.30093249870935,26.06145672001377,41.097308265932426,43.73820123390605,True,False
763970,Valentin Rosier,8371,Osasuna,ESP-La Liga,1.0,28.8,2.0,0.0,3.2,1.1,0.08,0.01,1.4,1.0,0.0,1.4,0.0,0.1,0.2,6.87,0.0,8.0,0.3,1.6,0.8,1313,17,Defender,0.6818181818181818,0.4666666666666666,0.0347222222222222,0.5714285714285715,54.70945907187518,57.44315737394597,21.826994780014918,52.76616187690013,43.69662445634839,True,False
1187389,Kilian Fischer,8721,VfL Wolfsburg,GER-Bundesliga,1.9,30.6,0.0,0.0,3.5,1.0,0.04,0.01,1.3,0.0,0.04,0.7,0.0,0.3,0.0,6.55,0.0,12.0,0.2,2.5,0.4,2306,32,Defender,0.7111111111111111,0.2187499999999999,0.0620915032679738,0.3076923076923077,63.04250559284116,26.41498881431768,50.458612975391496,39.45749440715883,43.68299182082911,False,False
698653,Igor Zubeldia,8560,Real Sociedad,ESP-La Liga,1.7,41.5,1.0,0.0,7.1,0.4,0.02,0.01,1.6,1.0,0.0,1.0,0.1,0.6,0.0,6.88,0.0,5.0,0.3,1.6,0.1,1665,19,Defender,0.6190476190476191,0.3846153846153846,0.0409638554216867,0.0625,34.60153695577353,36.58843859347215,48.43138731142087,66.9056709975334,43.54506063405788,True,False
1473534,Jérémy Jacquet,9851,Rennes,FRA-Ligue 1,3.1,52.3,0.0,0.0,4.9,0.5,0.03,0.06,1.1,0.0,0.0,1.0,0.2,0.9,0.0,6.85,0.0,9.0,0.6,1.5,0.2,1673,19,Defender,0.6944444444444444,0.4,0.0592734225621415,0.1818181818181818,40.896073538690985,37.56915763207709,52.662532983422246,44.16243618424826,43.311017723533766,True,False
634110,Carlens Arcus,8121,Angers,FRA-Ligue 1,2.0,43.2,3.0,0.0,2.7,1.1,0.06,0.01,1.3,3.0,0.0,1.3,0.0,0.1,0.2,6.87,0.0,12.0,0.3,1.7,0.1,1815,21,Defender,0.6976744186046512,0.4333333333333333,0.0462962962962962,0.0769230769230769,38.68593328744336,49.17034145012334,44.4606851947456,40.378162106350025,42.89583014018322,True,False
496042,Yerry Mina,8529,Cagliari,ITA-Serie A,1.9,43.7,0.0,0.0,6.3,0.2,0.02,0.04,1.4,0.0,0.07,0.8,0.1,0.9,0.1,6.8,0.0,1.0,0.3,1.4,0.1,1303,16,Defender,0.6111111111111112,0.3636363636363636,0.0434782608695652,0.0714285714285714,33.78454296449263,32.74957157402627,48.95517839729249,71.94490155165491,42.78253202441334,True,False
1429607,Kojo Peprah Oppong,9831,Nice,FRA-Ligue 1,1.3,50.2,1.0,0.0,5.2,0.3,0.02,0.06,1.2,0.0,0.05,1.0,0.1,0.7,0.0,6.92,0.0,6.0,0.5,1.7,0.6,1690,20,Defender,0.6923076923076923,0.3703703703703703,0.0258964143426294,0.5,46.83293269230769,38.84014423076923,31.814903846153843,59.957932692307686,42.62973162726188,True,False
592102,Moussa Niakhaté,9748,Lyon,FRA-Ligue 1,2.6,63.0,3.0,0.0,5.9,1.5,0.08,0.01,1.4,2.0,0.0,0.7,0.0,0.6,0.1,7.16,0.0,9.0,0.2,1.3,0.2,1678,20,Defender,0.5882352941176471,0.35,0.0412698412698412,0.1428571428571428,41.5876229708025,24.52942157115815,62.7920466930534,53.06522651006711,42.417905520977456,True,False
