player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,finishing,link_play,box_presence,press_leadership,composite_score,has_primary_season,is_manual_add,nationality
840241,Ermedin Demirovic,10269,VfB Stuttgart,GER-Bundesliga,0.1,12.5,5.0,0.0,0.3,1.7,0.08,0.69,1.2,1.0,0.73,0.1,1.5,0.1,0.2,6.82,0.0,18.0,3.2,0.6,0.2,1854,34,Attacker,0.3684210526315789,0.1428571428571428,0.008,0.1666666666666666,0.46875,0.2156249999999999,92.4656357388316,24.91408934707904,91.21993127147766,21.67525773195877,49.67302992120665,False,False,Bosnia and Herzegovina
471153,Ludovic Ajorque,8521,Brest,FRA-Ligue 1,1.3,16.8,2.0,0.0,1.3,1.6,0.08,0.3,2.0,7.0,0.15,0.4,0.5,0.1,0.7,7.07,0.0,29.0,1.7,0.6,0.4,1834,21,Attacker,0.3333333333333333,0.4,0.0773809523809523,0.2,0.2941176470588235,0.1764705882352941,57.90971529394376,43.87159128699701,51.38648708568895,43.9757464065329,49.62792896607625,True,False,France
184321,Callum Wilson,8654,West Ham United,ENG-Premier League,0.1,6.8,0.0,0.0,0.2,0.2,0.02,0.48,1.0,1.0,0.49,0.3,1.1,0.2,0.7,6.48,0.0,5.0,2.6,0.3,1.1,923,22,Attacker,0.3749999999999999,0.5,0.0147058823529411,1.1,0.4230769230769231,0.1846153846153846,80.18145161290323,18.296370967741936,74.63709677419355,50.372983870967744,49.601137195981416,True,False,England
1137364,Justin Njinmah,8697,SV Werder Bremen,GER-Bundesliga,0.1,14.3,1.0,0.0,0.6,0.6,0.04,0.33,0.5,0.0,0.3,0.4,1.1,0.0,0.7,6.63,0.0,8.0,2.7,1.0,0.8,1212,21,Attacker,0.7368421052631579,0.2857142857142857,0.0069930069930069,1.6,0.4074074074074074,0.1222222222222222,52.38027934818757,29.986859365184937,59.552156080257184,67.57438661641356,49.50668921676931,True,False,Germany
1251666,Ernest Poku,8178,Bayer 04 Leverkusen,GER-Bundesliga,0.4,28.1,3.0,0.0,0.7,3.3,0.26,0.22,0.2,4.0,0.4,0.5,0.6,0.0,0.2,6.93,0.0,21.0,1.8,0.9,1.3,1123,19,Attacker,0.875,0.3571428571428571,0.0142348754448398,6.5,0.3333333333333333,0.1222222222222222,46.40120967741936,79.38508064516128,35.08064516129032,45.78629032258064,49.35231144150151,True,False,Netherlands
1104053,Rayan Cherki,8456,Manchester City,ENG-Premier League,1.3,52.3,14.0,0.0,0.4,5.5,0.46,0.17,0.7,7.0,0.25,0.6,0.6,0.1,1.3,7.27,0.0,34.0,2.3,1.8,2.3,1076,21,Attacker,0.7741935483870969,0.25,0.0248565965583174,3.2857142857142856,0.2608695652173913,0.0739130434782608,30.542992277278945,96.02259080663636,31.07198943206592,78.12372981561542,49.285105280276895,True,False,France
747926,Moise Kean,8535,Fiorentina,ITA-Serie A,0.1,6.5,0.0,0.0,0.7,0.2,0.01,0.7,1.4,1.0,0.37,0.3,1.3,0.1,0.6,6.81,0.0,2.0,4.6,0.3,1.1,1722,22,Attacker,0.3,0.5,0.0153846153846153,0.7857142857142858,0.2826086956521739,0.1521739130434782,74.603240586779,22.30674721945091,85.01131618815357,35.69012581753686,49.18301748040728,True,False,Italy
900433,Khvicha Kvaratskhelia,9847,Paris Saint-Germain,FRA-Ligue 1,1.1,43.8,7.0,0.0,0.4,4.0,0.38,0.33,1.3,3.0,0.39,0.6,1.6,0.2,0.7,7.13,0.0,25.0,3.7,1.6,2.4,927,18,Attacker,0.6285714285714287,0.2727272727272727,0.0251141552511415,1.846153846153846,0.4324324324324324,0.0891891891891892,38.20516018179803,67.01042474965821,45.08073753833647,53.94542364113365,49.09766913763354,True,False,Georgia
895362,Rodrygo,8633,Real Madrid,ESP-La Liga,0.6,41.8,5.0,0.0,0.3,4.2,0.19,0.19,0.4,5.0,0.28,0.5,0.9,0.0,0.4,7.36,0.0,49.0,2.5,1.0,2.3,1937,30,Attacker,0.7894736842105263,0.3333333333333333,0.0143540669856459,5.749999999999999,0.36,0.076,32.113402061855666,89.60481099656359,42.25085910652922,52.7491408934708,49.089735403567566,False,False,Brazil
1209441,Ivan Romero,8581,Levante,ESP-La Liga,0.4,15.4,2.0,0.0,0.5,1.1,0.07,0.33,1.4,1.0,0.23,0.4,0.6,0.1,0.6,6.77,0.0,13.0,2.2,1.2,1.4,1547,20,Attacker,0.5333333333333333,0.25,0.0259740259740259,1.0,0.2727272727272727,0.15,47.48991935483871,45.3125,49.072580645161295,56.44153225806451,48.985147378728506,True,False,Spain
