player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_quality,shot_accuracy,xg_per_shot,goal_involvement_balance,creative_output,goal_threat,half_space_craft,counter_press,composite_score,has_primary_season,is_manual_add,nationality
731600,Idrissa Toure,6479,Pisa,ITA-Serie A,0.9,15.9,5.0,0.0,3.3,2.8,0.13,0.09,0.9,0.0,0.05,1.0,0.3,0.2,0.2,6.84,0.0,18.0,1.3,1.7,0.7,1923,23,Midfielder,0.75,0.3703703703703703,0.0566037735849056,0.7777777777777777,0.1555555555555555,0.2307692307692307,0.0692307692307692,0.0531818181818181,71.98529411764706,27.66911764705882,45.25735294117647,50.0,46.92326793564359,True,False,Germany
1199382,Josué Casimir,8583,Auxerre,FRA-Ligue 1,0.8,22.5,0.0,0.0,0.8,1.0,0.08,0.18,2.0,0.0,0.0,0.7,0.6,0.0,0.4,6.37,0.0,6.0,1.3,1.8,0.6,1121,20,Attacker,0.5555555555555556,0.2799999999999999,0.0355555555555555,0.3,0.1666666666666666,0.4615384615384615,0.1384615384615384,0.0553846153846153,44.828795443907005,59.51804753731732,42.85971550423884,41.47863681281532,46.84966672611328,True,False,Haiti
1385856,Davide Bartesaghi,8564,Milan,ITA-Serie A,1.7,32.1,2.0,0.0,2.0,2.7,0.15,0.05,0.7,0.0,0.12,0.5,0.3,0.3,0.1,7.06,0.0,29.0,0.8,2.2,0.5,1565,20,Midfielder,0.7941176470588235,0.1851851851851851,0.0529595015576324,0.7142857142857143,0.093103448275862,0.3749999999999999,0.0625,0.0375,60.62500000000001,34.25000000000001,46.83823529411765,46.79411764705882,46.789569886216334,True,False,Italy
1288119,Ismael Kone,7943,Sassuolo,ITA-Serie A,1.9,29.5,1.0,0.0,1.1,1.3,0.07,0.14,0.9,0.0,0.2,0.5,0.4,0.2,0.3,6.91,0.0,18.0,0.8,0.9,1.0,1772,22,Midfielder,0.6086956521739131,0.3571428571428571,0.0644067796610169,1.1111111111111112,0.0722222222222222,0.5,0.175,0.0466666666666666,31.786764705882355,73.51470588235294,60.45955882352942,34.330882352941174,46.748824038779055,True,False,Canada
1272440,Valentin Barco,9848,Strasbourg,FRA-Ligue 1,2.7,53.8,11.0,0.0,0.6,5.4,0.31,0.08,1.0,4.0,0.06,0.6,0.3,0.0,0.6,7.33,0.0,27.0,1.0,2.2,1.1,1605,19,Midfielder,0.736842105263158,0.2142857142857142,0.0501858736059479,1.1,0.2,0.3,0.08,0.0635897435897435,76.16215478233734,24.223292765382013,51.94215816299994,44.80769230769232,46.74450598944965,True,False,Argentina
1137668,Moisés Caicedo,8455,Chelsea,ENG-Premier League,1.9,56.9,3.0,0.0,1.0,1.8,0.09,0.05,1.8,1.0,0.15,2.3,0.4,0.6,0.3,7.37,0.0,12.0,0.9,3.2,0.5,1776,21,Midfielder,0.7534246575342466,0.4181818181818181,0.0333919156414762,0.2777777777777778,0.15,0.4444444444444445,0.0555555555555555,0.0321428571428571,54.60402038799604,29.428759036771208,45.29037941436522,68.55225724241951,46.72681880231448,True,False,Ecuador
704523,Christopher Nkunku,8564,Milan,ITA-Serie A,0.7,18.0,2.0,0.0,0.6,0.7,0.07,0.66,0.6,2.0,0.48,0.1,1.0,0.0,0.5,6.91,0.0,9.0,1.9,0.4,0.4,946,19,Attacker,0.4545454545454545,0.2,0.0388888888888888,0.6666666666666667,0.0777777777777777,0.5263157894736842,0.3473684210526316,0.0632876712328767,29.313829510584075,94.38016851302856,47.87733395745567,37.87099521506215,46.72354517902468,True,False,France
1565010,Arthur Avom,8689,Lorient,FRA-Ligue 1,3.2,42.4,3.0,0.0,0.8,2.3,0.14,0.05,0.8,1.0,0.0,1.4,0.1,0.1,0.7,7.02,0.0,22.0,0.9,2.5,1.1,1423,20,Midfielder,0.8297872340425532,0.358974358974359,0.0754716981132075,1.375,0.1045454545454545,0.1111111111111111,0.0555555555555555,0.0368421052631579,62.90441176470589,14.125,67.59191176470587,83.76470588235294,46.686072690874525,True,False,Cameroon
934156,Jurgen Ekkelenkamp,8600,Udinese,ITA-Serie A,0.3,20.5,3.0,0.0,1.4,1.5,0.09,0.19,0.9,1.0,0.18,0.6,0.7,0.2,0.3,6.88,0.0,21.0,1.4,1.9,0.6,1463,21,Midfielder,0.7352941176470589,0.24,0.0146341463414634,0.6666666666666666,0.0714285714285714,0.5,0.1357142857142857,0.0610714285714285,38.36877828054299,63.82744317886306,43.09194102044,46.81926457585687,46.67982130802482,True,False,Netherlands
1339269,Hugo Larsson,9810,Eintracht Frankfurt,GER-Bundesliga,2.4,39.3,1.0,0.0,1.2,0.9,0.09,0.07,0.4,2.0,0.09,1.1,0.3,0.1,0.1,6.79,0.0,9.0,0.7,1.0,0.3,968,15,Midfielder,0.8400000000000001,0.5238095238095238,0.0610687022900763,0.7499999999999999,0.1,0.4285714285714286,0.1,0.039375,37.363330212721685,53.55990274093722,46.93666458625891,54.48771909294222,46.67468548620263,True,False,Sweden
