player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,saves_per_match,clean_sheet_rate,build_up_involvement,shot_stopping,sweeper_behind_line,composite_score,has_primary_season
577912,Alex Meret,9875,Napoli,ITA-Serie A,0.0,28.0,0.0,16.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.8,0.0,0.0,0.0,0.0,3006,34,Keeper,0.0,0.0,0.0,0.0,0.052941176470588235,0.47058823529411764,66.66666666666667,57.575757575757585,61.36363636363635,62.03333779856931,False
1281100,Noah Atubolu,8358,Sport-Club Freiburg,GER-Bundesliga,0.0,26.7,1.0,6.0,1.2,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,2.9,3.0,0.0,0.0,0.0,2970,33,Keeper,0.0,0.0,0.0,0.0,0.08787878787878788,0.18181818181818182,65.54292929292929,55.011423761423764,66.87169312169311,61.95543755979015,True
364822,Ivan Provedel,8543,Lazio,ITA-Serie A,0.0,24.0,1.0,12.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,3.3,1.0,0.0,0.0,0.0,2430,27,Keeper,0.0,0.0,0.0,0.0,0.12222222222222222,0.4444444444444444,60.521284271284266,65.7151875901876,59.20214045214045,61.948474971678145,True
1125720,Robin Roefs,8472,Sunderland,ENG-Premier League,0.0,24.2,1.0,10.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,3.2,4.0,0.0,0.0,0.0,2970,33,Keeper,0.0,0.0,0.0,0.0,0.09696969696969697,0.30303030303030304,59.19642857142857,63.169642857142854,64.28571428571428,61.81939753012538,True
432435,Michael Zetterer,9810,Eintracht Frankfurt,GER-Bundesliga,0.0,25.4,0.0,5.0,1.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,2.8,0.0,0.0,0.0,0.0,1885,21,Keeper,0.0,0.0,0.0,0.0,0.13333333333333333,0.23809523809523808,61.260822510822514,63.90692640692641,58.021885521885515,61.33563482955831,True
279714,Brice Samba,9851,Rennes,FRA-Ligue 1,0.0,28.7,0.0,10.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,2.7,2.0,0.0,0.1,0.0,2880,32,Keeper,1.0,0.0,0.0,0.0,0.084375,0.3125,65.81589706589706,61.80104617604618,53.9793771043771,61.26858192931821,True
695405,Hervé Koffi,8121,Angers,FRA-Ligue 1,0.0,20.3,0.0,10.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,4.2,0.0,0.0,0.0,0.0,2610,29,Keeper,0.0,0.0,0.0,0.0,0.14482758620689656,0.3448275862068966,48.482142857142854,85.9375,52.27678571428571,60.36342762114526,True
1075429,Jonathan Fischer,8550,Metz,FRA-Ligue 1,0.0,28.4,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,3.6,1.0,0.0,0.0,0.0,2263,26,Keeper,0.0,0.0,0.0,0.0,0.13846153846153847,0.15384615384615385,66.69642857142857,53.57142857142858,60.357142857142854,60.24899815432126,True
41618,Yann Sommer,8636,Internazionale,ITA-Serie A,0.0,26.2,0.0,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,1.9,0.0,0.0,0.0,0.0,2880,32,Keeper,0.0,0.0,0.0,0.0,0.059375,0.46875,64.84427609427608,58.62193362193363,54.61339586339586,59.964539485192695,True
415137,Alberto Paleari,9804,Torino,ITA-Serie A,0.0,20.7,0.0,9.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,2.9,0.0,0.0,0.0,0.0,2430,27,Keeper,0.0,0.0,0.0,0.0,0.10740740740740741,0.3333333333333333,49.91071428571428,74.10714285714286,59.19642857142857,59.8139405757512,True
1319972,Mike Penders,9848,Strasbourg,FRA-Ligue 1,0.0,37.0,0.0,8.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,3.2,0.0,0.0,0.0,0.0,2880,32,Keeper,0.0,0.0,0.0,0.0,0.1,0.25,69.55357142857142,57.14285714285714,50.044642857142854,59.80036785739407,True
303919,Jordan Pickford,8668,Everton,ENG-Premier League,0.0,23.1,1.0,11.0,1.3,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,2.8,2.0,0.0,0.1,0.0,3240,36,Keeper,1.0,0.0,0.0,0.0,0.07777777777777778,0.3055555555555556,57.00036075036075,52.42905242905243,75.7163900913901,59.429040670466655,True
554534,Alexander Nübel,10269,VfB Stuttgart,GER-Bundesliga,0.0,25.6,1.0,11.0,0.9,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.31,3.2,3.0,0.0,0.0,0.0,2970,33,Keeper,0.0,0.0,0.0,0.0,0.09696969696969697,0.3333333333333333,62.26010101010101,56.43338143338144,58.65620490620491,59.26523955927934,True
815912,Berke Özer,8639,Lille,FRA-Ligue 1,0.0,26.4,0.0,13.0,0.7,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.23,2.3,2.0,0.0,0.1,0.0,2744,31,Keeper,1.0,0.0,0.0,0.0,0.07419354838709677,0.41935483870967744,63.839285714285715,56.25,56.60714285714286,59.26467414055189,True
317564,Kepa Arrizabalaga,8678,Bournemouth,ENG-Premier League,0.0,20.5,0.0,8.0,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.95,3.1,1.0,0.0,0.0,0.0,2790,31,Keeper,0.0,0.0,0.0,0.0,0.1,0.25806451612903225,52.32323232323231,61.61616161616163,67.87878787878789,59.129535835453396,False
556505,Robin Zentner,9905,1. FSV Mainz 05,GER-Bundesliga,0.0,18.9,1.0,9.0,1.9,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,3.2,3.0,0.0,0.1,0.0,2880,32,Keeper,1.0,0.0,0.0,0.0,0.1,0.28125,46.868686868686865,64.8989898989899,74.1919191919192,58.91495412629014,False
163604,Karl Darlow,8463,Leeds United,ENG-Premier League,0.0,22.7,0.0,4.0,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,2.6,0.0,0.0,0.1,0.1,1800,20,Keeper,1.0,0.0,0.0,0.0,0.13,0.2,53.660714285714285,58.92857142857143,67.23214285714286,58.66389404872745,True
789571,Robert Sánchez,8455,Chelsea,ENG-Premier League,0.0,26.0,2.0,9.0,0.8,0.1,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,7.06,2.9,5.0,0.0,0.1,0.0,2861,33,Keeper,0.5,0.0,0.0,0.0,0.08787878787878788,0.2727272727272727,60.09439634439634,56.28607503607503,57.78168590668591,58.15960937496793,True
