player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,tempo_control,switch_play,press_resistance,defensive_shield,counter_press_anchor,composite_score,has_primary_season,is_manual_add,nationality
1565010,Arthur Avom,8689,Lorient,FRA-Ligue 1,3.2,42.4,3.0,0.0,0.8,2.3,0.14,0.05,0.8,1.0,0.0,1.4,0.1,0.1,0.7,7.02,0.0,22.0,0.9,2.5,1.1,1423,20,Midfielder,0.8297872340425532,0.358974358974359,0.0754716981132075,1.375,83.26388888888889,90.16203703703704,80.00578703703702,82.15277777777777,86.5625,84.24785207219716,True,False,Cameroon
31097,Luka Modric,8564,Milan,ITA-Serie A,5.2,62.7,4.0,0.0,1.2,3.4,0.15,0.06,0.7,3.0,0.09,1.4,0.3,0.4,0.4,7.73,0.0,38.0,0.5,1.8,0.5,2006,24,Midfielder,0.8205128205128205,0.4374999999999999,0.0829346092503987,0.7142857142857143,95.69181132176092,95.06239500839932,69.96619437111697,84.977501799856,66.94548602778444,83.57870199603622,True,False,Croatia
1061249,Vitinha,9847,Paris Saint-Germain,FRA-Ligue 1,7.5,111.0,8.0,0.0,1.1,3.3,0.18,0.04,0.6,7.0,0.05,1.1,0.5,0.2,0.8,7.78,0.0,29.0,1.5,0.9,0.5,1649,21,Midfielder,0.7692307692307692,0.55,0.0675675675675675,0.8333333333333334,95.10129189664826,91.88348265472096,81.24691691331361,75.46155474228728,58.95626683198677,82.28168015094401,True,False,Portugal
1083323,Pedri,8634,Barcelona,ESP-La Liga,3.5,82.1,5.0,0.0,0.9,3.3,0.24,0.11,0.6,5.0,0.15,1.0,0.7,0.1,0.8,7.9,0.0,38.0,1.3,2.1,1.8,1218,16,Midfielder,0.8378378378378378,0.3225806451612903,0.0426309378806333,3.0,84.80583220009065,75.47187891635336,95.02131496146974,73.28698704103671,76.81732961363092,81.69996429145696,True,False,Spain
460632,Joshua Kimmich,9823,Bayern München,GER-Bundesliga,6.9,96.7,12.0,0.0,0.7,6.3,0.41,0.13,0.3,5.0,0.07,0.8,0.3,0.1,0.3,7.61,0.0,34.0,1.0,1.0,0.7,1377,18,Midfielder,0.8571428571428571,0.4444444444444445,0.0713547052740434,2.333333333333333,95.14875476628538,92.1717929232328,82.25346138975549,77.80590052795776,48.43980814868144,80.51997262673144,True,False,Germany
1185211,Mamadou Sangare,8588,Lens,FRA-Ligue 1,3.0,46.1,2.0,0.0,1.4,1.2,0.07,0.13,1.5,2.0,0.06,1.5,0.4,0.2,1.0,7.59,0.0,18.0,1.5,3.8,1.3,1579,20,Midfielder,0.7794117647058824,0.2830188679245283,0.0650759219088937,0.8666666666666667,83.57638888888889,85.12731481481481,66.89814814814814,64.33449074074073,92.9861111111111,78.38825193064667,True,False,Mali
1436305,Lamine Camara,9829,Monaco,FRA-Ligue 1,2.9,46.6,6.0,0.0,0.9,2.6,0.24,0.04,1.4,3.0,0.0,2.3,0.0,0.1,1.2,7.51,0.0,21.0,0.9,2.3,1.2,938,13,Midfielder,0.7666666666666666,0.5,0.0622317596566523,0.8571428571428572,83.74311721728928,83.72055235581153,57.90115957390075,73.8853558381996,84.78660040530092,76.47534499278918,True,False,Senegal
605654,Fabián Ruiz,9847,Paris Saint-Germain,FRA-Ligue 1,3.4,67.6,9.0,0.0,1.2,5.1,0.24,0.19,0.3,5.0,0.19,0.7,0.6,0.1,0.4,7.38,0.0,36.0,2.0,1.7,0.7,1923,30,Midfielder,0.888888888888889,0.2916666666666667,0.0502958579881656,2.333333333333333,86.25269978401728,79.53563714902808,84.17926565874731,67.22462203023758,54.74082073434126,75.99082156195966,False,False,Spain
1305543,Kévin Danois,8583,Auxerre,FRA-Ligue 1,2.8,40.1,6.0,0.0,0.4,3.0,0.15,0.08,1.0,1.0,0.1,1.2,0.3,0.1,0.5,7.15,0.0,34.0,1.0,2.0,1.3,1762,21,Midfielder,0.7619047619047619,0.3749999999999999,0.0698254364089775,1.3,76.64416846652269,84.86004452977095,71.33491820654348,70.16731994773752,74.83497986827722,75.81947098275369,True,False,France
1020963,Nicolo Rovella,8543,Lazio,ITA-Serie A,3.5,60.9,6.0,0.0,1.4,2.1,0.07,0.05,1.4,3.0,0.0,1.6,0.3,0.1,0.3,7.15,0.0,31.0,0.9,2.8,0.6,2728,33,Midfielder,0.7586206896551724,0.3636363636363636,0.057471264367816,0.4285714285714286,88.92008639308854,85.20518358531316,53.1317494600432,77.04103671706264,73.34773218142547,75.62759862911884,False,False,Italy
1287373,Jobe Bellingham,9789,Borussia Dortmund,GER-Bundesliga,2.4,46.7,1.0,0.0,1.5,0.7,0.07,0.07,0.9,1.0,0.0,2.6,0.3,0.4,0.7,6.74,0.0,4.0,1.1,2.1,0.6,921,20,Midfielder,0.8392857142857142,0.5531914893617021,0.0513918629550321,0.6666666666666666,74.13194444444444,68.69212962962963,66.11689814814814,93.37384259259258,85.13888888888889,75.42207721274498,True,False,England
1338192,Pablo Barrios,9906,Atlético de Madrid,ESP-La Liga,2.4,50.2,3.0,0.0,0.7,2.0,0.12,0.1,0.7,1.0,0.06,1.3,0.3,0.1,0.6,7.24,0.0,20.0,1.2,1.7,1.8,1580,21,Midfielder,0.8108108108108107,0.4333333333333333,0.047808764940239,2.571428571428572,74.55898528117751,66.89089872810176,84.82283917286618,83.88430592219288,69.34608564648163,75.37570096006064,True,False,Spain
683450,Pablo Fornals,8603,Real Betis,ESP-La Liga,3.2,45.4,6.0,0.0,0.8,4.1,0.19,0.15,0.9,4.0,0.28,1.2,0.7,0.1,0.9,7.46,0.0,51.0,1.6,1.3,0.8,1948,24,Midfielder,0.7352941176470589,0.48,0.0704845814977973,0.888888888888889,80.75023998080154,82.37690984721223,67.48639275524624,80.72301715862731,62.83768965149455,75.3234369084241,True,False,Spain
743533,Federico Valverde,8633,Real Madrid,ESP-La Liga,2.3,54.8,6.0,0.0,1.9,3.4,0.16,0.08,0.5,6.0,0.05,0.9,0.5,0.3,0.4,7.57,0.0,33.0,1.5,1.6,0.7,1906,23,Midfielder,0.8333333333333334,0.36,0.041970802919708,1.4,79.07422406207503,70.21929912273684,80.98106318161213,82.83159847212222,61.63948550782604,75.2639022585079,True,False,Uruguay
422685,Bruno Fernandes,10260,Manchester United,ENG-Premier League,4.2,49.1,18.0,0.0,1.6,6.7,0.3,0.37,0.7,12.0,0.27,0.5,0.7,0.2,0.5,7.98,0.0,78.0,2.6,1.7,0.5,1987,23,Midfielder,0.7586206896551724,0.2272727272727272,0.0855397148676171,0.7142857142857143,92.05165253446393,96.72084566568007,69.11201270565022,47.84818881156175,57.99391881982775,74.25255393982934,True,False,Portugal
1737700,Lennart Karl,9823,Bayern München,GER-Bundesliga,2.1,49.0,4.0,0.0,0.2,3.0,0.3,0.47,0.4,2.0,0.4,1.1,1.4,0.2,1.1,7.03,0.0,15.0,3.1,2.0,1.5,905,20,Midfielder,0.8857142857142858,0.3548387096774194,0.0428571428571428,3.75,68.29861111111111,57.34953703703704,93.22916666666666,80.99537037037037,81.44097222222223,73.93249748022279,True,False,Germany
207236,Granit Xhaka,8472,Sunderland,ENG-Premier League,4.6,43.6,7.0,0.0,3.0,2.2,0.1,0.03,0.7,5.0,0.05,0.9,0.2,0.7,0.3,7.39,0.0,25.0,0.5,1.6,0.3,1963,22,Midfielder,0.78125,0.36,0.1055045871559633,0.4285714285714286,89.53703703703704,98.61111111111111,56.047453703703695,71.53935185185185,50.20833333333333,73.68774804802835,True,False,Switzerland
179515,Téji Savanier,10249,Montpellier,FRA-Ligue 1,7.2,38.1,16.0,0.0,0.8,7.7,0.3,0.16,0.8,5.0,0.08,0.6,0.7,0.0,0.7,7.04,0.0,70.0,1.8,1.2,1.1,2339,31,Midfielder,0.6923076923076923,0.3333333333333333,0.1889763779527559,1.375,85.8315334773218,100.0,76.59287257019439,55.62634989200864,44.832613390928735,73.52972232154147,False,False,France
439366,Abdoulaye Touré,9746,Le Havre,FRA-Ligue 1,3.0,33.3,2.0,0.0,1.5,1.1,0.04,0.36,1.2,1.0,0.39,1.3,0.6,0.7,0.6,7.14,0.0,7.0,1.8,2.4,0.7,2329,28,Midfielder,0.7551020408163265,0.3513513513513513,0.0900900900900901,0.5833333333333334,75.56155507559394,93.89848812095032,50.836933045356375,74.96760259179266,79.08747300215984,73.31706190218995,False,False,Guinea
75307,Daniel Parejo,10205,Villarreal,ESP-La Liga,3.5,46.9,3.0,0.0,1.0,0.9,0.08,0.01,1.0,0.0,0.0,0.9,0.0,0.5,0.1,6.79,0.0,18.0,0.2,2.5,0.5,1016,20,Midfielder,0.7727272727272726,0.2647058823529412,0.0746268656716418,0.5,89.27910767138629,91.91173039490172,57.76304562301683,60.84604065008133,60.558355331573466,73.31454047471752,True,False,Spain
641595,Nikola Moro,9857,Bologna,ITA-Serie A,8.3,56.5,0.0,0.0,1.9,1.2,0.1,0.04,0.9,0.0,0.17,0.7,0.2,0.1,0.4,6.91,0.0,13.0,0.9,1.8,0.5,1087,18,Midfielder,0.7352941176470589,0.2799999999999999,0.1469026548672566,0.5555555555555556,95.44529770951658,99.56803455723542,57.10347338879557,49.83058855291576,56.58797296216303,72.84770531780651,True,False,Croatia
