player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_quality,shot_accuracy,xg_per_shot,link_play,creative_output,finishing,press_trigger,composite_score,has_primary_season,is_manual_add,nationality
688295,Christian Pulisic,8564,Milan,ITA-Serie A,0.4,31.7,5.0,0.0,0.8,2.1,0.21,0.59,0.8,2.0,0.8,0.3,1.8,0.1,0.7,7.26,0.0,23.0,3.1,1.0,1.3,900,18,Attacker,0.6190476190476191,0.2307692307692307,0.0126182965299684,1.625,0.0913043478260869,0.5806451612903226,0.1903225806451612,81.54329712153124,70.19620884602593,88.17987196541405,61.98097956619739,75.82090219165876,True,False,USA
974753,Julián Álvarez,9906,Atlético de Madrid,ESP-La Liga,1.0,25.7,9.0,0.0,0.2,4.3,0.23,0.37,0.7,3.0,0.38,0.1,1.2,0.0,0.8,7.12,0.0,43.0,2.5,0.8,1.2,1677,24,Attacker,0.5625,0.1111111111111111,0.0389105058365758,1.7142857142857144,0.0999999999999999,0.48,0.148,80.71236559139784,81.37752651221224,77.29005006835901,55.168172412518935,74.14412780868314,True,False,Argentina
784246,Daniel Raba,7854,Leganés,ESP-La Liga,1.0,19.0,12.0,0.0,0.8,4.6,0.22,0.36,1.9,6.0,0.38,0.7,0.8,0.1,0.8,7.3,0.0,47.0,2.1,1.8,2.2,1890,29,Attacker,0.5681818181818181,0.2799999999999999,0.0526315789473684,1.1578947368421053,0.0978723404255319,0.3809523809523809,0.1714285714285714,80.71305841924399,76.8041237113402,66.96735395189003,70.63573883161513,74.07982693639018,False,False,Spain
923312,Bryan Mbeumo,10260,Manchester United,ENG-Premier League,0.6,23.6,3.0,0.0,0.3,3.8,0.19,0.36,0.7,2.0,0.45,0.2,1.4,0.0,0.8,7.3,0.0,32.0,2.6,0.8,0.6,1810,21,Attacker,0.5882352941176471,0.2,0.0254237288135593,0.8571428571428572,0.11875,0.5384615384615384,0.1384615384615384,73.08860344381628,79.29724162140191,73.33458042345639,68.28211026124228,73.64749998449099,True,False,Cameroon
846033,Vinicius Junior,8633,Real Madrid,ESP-La Liga,1.4,31.2,6.0,0.0,0.1,3.1,0.16,0.43,1.1,5.0,0.41,0.1,1.4,0.0,0.7,7.65,0.0,42.0,3.2,1.2,2.7,1768,23,Attacker,0.5416666666666666,0.0769230769230769,0.0448717948717948,2.4545454545454546,0.0738095238095238,0.4374999999999999,0.134375,90.6482097328456,73.75743635221521,68.5990328123268,56.91178915862986,73.16092177374374,True,False,Brazil
1305618,Maghnes Akliouche,9829,Monaco,FRA-Ligue 1,1.7,34.9,7.0,0.0,0.6,3.5,0.19,0.26,0.9,2.0,0.22,0.7,0.6,0.1,1.2,7.15,0.0,26.0,1.8,1.7,0.8,1657,21,Attacker,0.7272727272727273,0.2916666666666667,0.0487106017191977,0.888888888888889,0.1346153846153846,0.3333333333333333,0.1444444444444444,79.80256715811255,85.65121198684551,46.0831901489118,86.89051934375347,72.02255923645802,True,False,France
194165,Harry Kane,9823,Bayern München,GER-Bundesliga,3.3,23.7,14.0,0.0,1.4,3.3,0.17,1.03,0.9,5.0,1.32,0.3,2.5,0.2,0.4,8.28,0.0,31.0,4.3,0.7,1.2,1768,22,Attacker,0.5263157894736842,0.3,0.1392405063291139,1.3333333333333333,0.1064516129032258,0.5813953488372093,0.2395348837209302,73.26123304881203,81.31780475187524,95.97346931234527,41.54946328936186,71.82234171441546,True,False,England
953812,Sofiane Diop,9831,Nice,FRA-Ligue 1,2.2,29.9,4.0,0.0,0.3,2.9,0.18,0.35,1.1,2.0,0.45,0.8,0.8,0.1,0.7,7.09,0.0,21.0,2.7,0.6,1.3,1414,21,Attacker,0.5599999999999999,0.5714285714285715,0.0735785953177257,1.1818181818181817,0.1380952380952381,0.2962962962962963,0.1296296296296296,74.5177918190888,72.184301444777,67.26247552008277,66.01781029449802,70.3338057133169,True,False,Morocco
184138,Antoine Griezmann,9906,Atlético de Madrid,ESP-La Liga,2.2,38.1,13.0,0.0,0.8,6.5,0.24,0.27,0.4,7.0,0.29,0.2,0.7,0.0,0.7,7.18,0.0,48.0,1.8,1.1,0.5,2482,38,Attacker,0.7647058823529411,0.1538461538461538,0.0577427821522309,1.25,0.1354166666666666,0.3888888888888888,0.15,75.08591065292096,88.86597938144331,53.8573883161512,65.10309278350516,70.04595569325592,False,False,France
575735,Nicolas Pépé,10205,Villarreal,ESP-La Liga,0.4,27.3,8.0,0.0,1.2,3.9,0.24,0.35,1.0,4.0,0.19,0.7,0.8,0.0,0.8,7.18,0.0,34.0,2.4,1.6,2.3,1433,23,Attacker,0.6969696969696969,0.3043478260869565,0.0146520146520146,2.3,0.1147058823529411,0.3333333333333333,0.1458333333333333,87.42448176477109,83.06899641577063,46.55320455973099,67.63327698333518,70.04371018193015,True,False,Ivory Coast
