player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_creation_rate,xg_per_shot,ball_carrying,box_arrival,creative_link,counter_press,composite_score,has_primary_season,is_manual_add,nationality
1191093,Lorenzo Bernasconi,8524,Atalanta,ITA-Serie A,1.6,33.1,3.0,0.0,2.5,2.4,0.22,0.03,0.6,2.0,0.0,0.8,0.1,0.3,0.0,7.13,0.0,16.0,0.6,2.1,0.5,1005,15,Midfielder,0.8285714285714285,0.2758620689655172,0.0483383685800604,0.8333333333333334,0.4833836858006042,0.05,52.76620370370371,15.312500000000002,61.19212962962963,48.48958333333334,39.51589864040708,True,False,Italy
1180481,Johann Lepenant,9830,Nantes,FRA-Ligue 1,2.1,31.1,2.0,0.0,1.0,1.1,0.08,0.03,1.0,1.0,0.0,0.9,0.1,0.2,0.7,6.97,0.0,15.0,0.7,3.8,0.5,1202,16,Midfielder,0.8245614035087719,0.1914893617021276,0.067524115755627,0.5,0.4823151125401929,0.0428571428571428,47.852430138922216,21.07021438284937,36.36625736607738,71.82481234834546,39.47462290613684,True,False,France
936164,Michel Ndary Adopo,8529,Cagliari,ITA-Serie A,0.6,25.6,1.0,0.0,1.4,0.4,0.02,0.07,1.1,1.0,0.05,0.9,0.4,0.2,0.4,6.73,0.0,18.0,0.9,1.7,0.5,2000,25,Midfielder,0.7027027027027027,0.3461538461538461,0.0234374999999999,0.4545454545454545,0.703125,0.0777777777777777,35.72619190464763,37.02992927232488,37.40924892675253,52.92809908540651,39.44720573888765,True,False,France
1080983,Ilia Gruev,8463,Leeds United,ENG-Premier League,1.5,37.6,2.0,0.0,1.0,0.8,0.07,0.03,0.7,3.0,0.0,1.1,0.1,0.4,0.4,6.82,0.0,10.0,0.4,1.8,0.5,1022,17,Midfielder,0.8055555555555556,0.3793103448275862,0.0398936170212765,0.7142857142857143,0.2659574468085106,0.075,52.80671296296297,22.53472222222222,32.986111111111114,63.177083333333336,39.32914331997766,True,False,Bulgaria
824623,Martin Frese,9876,Verona,ITA-Serie A,1.3,20.9,1.0,0.0,3.2,1.4,0.08,0.1,1.6,0.0,0.06,0.9,0.4,0.3,0.1,6.86,0.0,20.0,0.9,2.8,0.0,1477,19,Midfielder,0.6981132075471698,0.2432432432432432,0.062200956937799,0.0,0.9569377990430624,0.1111111111111111,19.40972222222222,58.67476851851851,51.40625000000001,48.82523148148148,39.264627839528,True,False,Denmark
488415,Hassane Kamara,8600,Udinese,ITA-Serie A,1.3,27.3,3.0,0.0,3.1,0.9,0.07,0.03,0.8,1.0,0.0,1.2,0.3,0.3,0.2,6.92,0.0,13.0,1.0,2.0,1.0,1057,15,Midfielder,0.8,0.3749999999999999,0.0476190476190476,1.25,0.4761904761904761,0.03,59.00292976561875,17.464652827773776,41.63774398048157,54.371441951310565,39.24171958756536,True,False,Ivory Coast
795371,Ibrahim Sangaré,10203,Nottingham Forest,ENG-Premier League,1.6,36.3,1.0,0.0,2.3,1.3,0.09,0.07,1.7,2.0,0.14,1.0,0.3,0.8,0.2,6.91,0.0,6.0,0.9,2.6,0.3,1320,18,Midfielder,0.679245283018868,0.2777777777777778,0.0440771349862259,0.1764705882352941,0.1652892561983471,0.0777777777777777,34.14930555555556,48.48958333333333,29.29398148148148,51.35416666666666,38.92569845095065,True,False,Ivory Coast
540963,Sander Berge,9879,Fulham,ENG-Premier League,1.7,48.3,3.0,0.0,1.6,1.1,0.04,0.05,1.0,1.0,0.0,0.7,0.1,0.6,0.2,6.64,0.0,15.0,0.4,1.8,0.3,2166,26,Midfielder,0.7142857142857143,0.2799999999999999,0.0351966873706004,0.3,0.3105590062111801,0.125,42.49484207930033,35.065261445751005,37.95566354691625,39.51477215156121,38.80531201121324,True,False,Norway
1269497,Yannik Engelhardt,9788,Borussia Mönchengladbach,GER-Bundesliga,1.0,40.2,1.0,0.0,1.8,1.1,0.06,0.07,1.6,1.0,0.12,1.0,0.3,0.4,0.3,6.91,0.0,9.0,0.9,2.0,0.2,1561,20,Midfielder,0.6521739130434783,0.3333333333333333,0.0248756218905472,0.125,0.2238805970149253,0.0777777777777777,35.19851745193718,42.69779250993253,33.6465666080047,47.4175732608058,38.76874302625094,True,False,Germany
956659,Himad Abdelli,8121,Angers,FRA-Ligue 1,1.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9,1.4,993,15,Midfielder,1.0,0.40625,0.0,0.0,0.0,0.0,44.3645425032664,38.8300102658454,24.36070947657521,55.99401214569502,38.69933293423592,True,False,Algeria
801120,Jens-Lys Cajuste,9902,Ipswich Town,ENG-Premier League,1.1,28.6,0.0,0.0,1.5,0.7,0.03,0.03,1.1,1.0,0.05,1.3,0.0,0.5,0.5,6.59,0.0,13.0,0.5,2.0,1.3,1976,30,Midfielder,0.7499999999999999,0.393939393939394,0.0384615384615384,1.1818181818181817,0.4545454545454545,0.06,61.65226781857451,21.857451403887683,24.30345572354212,69.61663066954642,38.62283999877592,False,False,Sweden
902651,Raoul Bellanova,8524,Atalanta,ITA-Serie A,1.1,29.9,1.0,0.0,1.6,1.4,0.13,0.03,0.1,1.0,0.0,0.6,0.2,0.2,0.4,6.87,0.0,17.0,0.9,1.2,0.4,1001,15,Midfielder,0.9473684210526316,0.3333333333333333,0.0367892976588628,4.0,0.5685618729096991,0.0333333333333333,51.35950790603419,16.655317574594033,59.49364884142602,41.44141801989175,38.519359636660994,True,False,Italy
785511,Fran Beltrán,9910,Celta de Vigo,ESP-La Liga,2.9,48.6,4.0,0.0,1.2,1.8,0.07,0.04,1.3,1.0,0.07,1.0,0.1,0.2,0.3,6.73,0.0,15.0,0.9,1.9,0.4,2426,34,Midfielder,0.6904761904761905,0.3448275862068966,0.0596707818930041,0.3076923076923077,0.3086419753086419,0.0444444444444444,50.90712742980562,22.5,39.26565874730022,48.245140388768895,38.48337421077428,False,False,Spain
689987,Jakub Piotrowski,8600,Udinese,ITA-Serie A,1.0,22.2,1.0,0.0,2.1,0.4,0.03,0.14,1.6,1.0,0.08,1.0,0.4,0.3,0.3,6.66,0.0,10.0,1.9,2.5,0.5,1073,21,Midfielder,0.6862745098039216,0.2857142857142857,0.045045045045045,0.3125,0.4504504504504504,0.0736842105263158,33.5474537037037,56.86342592592592,22.77777777777778,55.50925925925926,38.42881992973391,True,False,Poland
822440,Michael Folorunsho,8529,Cagliari,ITA-Serie A,0.8,15.2,1.0,0.0,1.3,0.4,0.03,0.17,1.6,0.0,0.07,0.4,0.4,0.1,0.3,6.56,0.0,10.0,1.3,1.4,0.9,1313,16,Midfielder,0.5294117647058824,0.2222222222222222,0.0526315789473684,0.5625,0.6578947368421053,0.1307692307692307,48.70949074074074,70.42824074074075,25.78703703703704,20.78125,38.42425724083362,True,False,Italy
850295,Alessio Zerbin,7801,Cremonese,ITA-Serie A,0.8,18.8,4.0,0.0,1.7,1.7,0.14,0.12,1.5,2.0,0.0,0.2,0.6,0.2,0.1,6.52,0.0,11.0,1.4,2.5,0.5,1084,20,Midfielder,0.6428571428571429,0.074074074074074,0.0425531914893617,0.3333333333333333,0.5851063829787234,0.0857142857142857,30.86805555555556,54.36921296296296,44.12037037037037,29.06828703703704,38.41799705461969,True,False,Italy
